nama,rating,tanggal,ulasan,nama_hotel,kota
Khine,"8,4",15 May 2022,Accessible to many restaurants and Kuta beach. It is also very close to airport.,eden kuta hotel bali,Bali
Octariana,"8,0",03 May 2022,The only problem we had to wait for checked in almost 3 hours. We arrived at the hotel around 2:30 but the room is not available yet and I kept waiting and waiting and they promised to me only 15 minutes more to get room done but seem they only promise until finally my husband complained and they gave a key for our room. The management should need to fixed the rule if high season all the guesses can’t check out late because other people want to check in on time have to wait for room available.,eden kuta hotel bali,Bali
ARMITHA,"8,4",21 Aug 2017,"good facilities, good location",eden kuta hotel bali,Bali
Amelia,"9,2",17 Aug 2017,"The hotel itself is a little aged but you cannot complain for the price! Their food is delicious and their drinks are so tasty. If you want extra great service at the poolside bar ask for Panda. We found the hotel very accommodating for our big group with 4 adults, 1 teen and 4 kids. Would definitely go back!",eden kuta hotel bali,Bali
Suzanne,"8,0",17 Aug 2017,We were greeted every time we entered the hotel.,eden kuta hotel bali,Bali
Nova,"10,0",Profil ini privat.,"Very relaxing.. I have a room with pool access and the room meet our expectation.. The internet connection need to upgrade, very slow..",eden kuta hotel bali,Bali
Mohd,"7,2",14 Aug 2017,Near airport,eden kuta hotel bali,Bali
Scott,"8,4",13 Aug 2017,It's on the wrong side of Kuta unless you are a drunk Aussie looking to party in Kuta and stay cheap.,eden kuta hotel bali,Bali
Jeff,"8,0",03 Aug 2017,Great service.,eden kuta hotel bali,Bali
Merlis,"8,0",27 Jul 2017,good location and service. staff are nice.  room is clean. breakfast is nice.,eden kuta hotel bali,Bali
Swee,"6,4",21 Aug 2017,"Goo location, friendly staff, reasonablly priced. Generally a good place to stay.",eden kuta hotel bali,Bali
Irfan,"10,0",21 Aug 2017,This hotel is good and location is perfect,eden kuta hotel bali,Bali
Verginia,"6,8",17 Aug 2017,Decent place to stay if but don't expect too much from this hotel.,eden kuta hotel bali,Bali
Robyn,"10,0",17 Aug 2017,The Hotel was great very clean. The staff were lovely and very help full.,eden kuta hotel bali,Bali
Brenda,"9,6",Profil ini privat.,No wifi in our room,eden kuta hotel bali,Bali
Nur,"10,0",14 Aug 2017,"Friendly staff, nice room and the best view from my room. In love with serenity😍",eden kuta hotel bali,Bali
Eny,"9,2",13 Aug 2017,Enjoying our stay here. Thanks a lot for all staff of Eden Hotel,eden kuta hotel bali,Bali
david,"9,6",03 Aug 2017,"location is very near to shopping center, easy to find some meal, room is clean ,staff is very helpful",eden kuta hotel bali,Bali
Luke,"10,0",27 Jul 2017,Really friendly and helpful staff. Rooms are great too. Really clean and big. We had a poolside view,eden kuta hotel bali,Bali
DANG,"5,2",25 Jul 2017,"receive damge room and must wait 20mins to got another room,receiption dont’t prepare food althought tell them manytimes from yesterday",eden kuta hotel bali,Bali
Leidyana,"8,8",22 Jul 2017,"Lokasi bagus, sarapan oke, staff nya ramah2..",eden kuta hotel bali,Bali
Bernard,"9,6",21 Jul 2017,"Great location hotel, near lippo mall, big parking lot. Not so clean but its enough clean. Delicious breakfast, nice and clean kids pool. Absolutely will comeback",eden kuta hotel bali,Bali
Bernie,"9,2",20 Jul 2017,Nice clean and cozy room. Would love if they had a pool suitable for adults.,eden kuta hotel bali,Bali
david,"10,0",19 Jul 2017,"Hotel bersih, nyaman, makanan enak , lokasi strategis",eden kuta hotel bali,Bali
Dhanraj,"9,2",16 Jul 2017,"Hotel is located in Centre of Kuta with proximity to malls, various cuisines and more importantly Kuta Beach.... Mine was pool facing and this is a great option if you want to relax seeing pool and just want to hop in pool.

Being in Centre of Kuta, it’s crowded with traffic being most annoying thing but again, to get some advantages as above, you need to cope with that.

Overall, great hotel and would certainly suggest to stay.",eden kuta hotel bali,Bali
SHIN,"9,6",13 Jul 2017,"Its price very cheap. 
I booked it for just sleeping but it was worth more than I thought.
It was good location. there is good restaurants and massage shops around it.
I could meet many good people in that location. but there are many cheater around the beachwalk shopping mall.
Of couse, the staffs of that hotel was kind, too.
I stayed at the access pool room. it was a good condition. and there is swimming pool just front of the room.
My son really liked it.
I recommend this hotel. and if I come to Bali again I will stay at this hotel again.",eden kuta hotel bali,Bali
natalie,"6,8",13 Jul 2017,Hotel rooms were nice. Staff ok. But breakfast was absolutely horrible. They do not cater for all nationalities,eden kuta hotel bali,Bali
Linda,"7,2",12 Jul 2017,"Lovely hotel, lovely staff but unless you are Indian don't bother with the breakfast, the hotel only cater for people from India as that is where most of their clientele come from, we ate next door at the Febris, absolutely amazing breakfast. I asked the hotel for a refund for the breakfasts and was told no refund so wasn't happy about paying for something that to me was inedible.",eden kuta hotel bali,Bali
Pon,"8,0",25 Jul 2017,Close to airport. Nice restaurant. I need to change rooms due to AC. but the staff are very accommodating and very hospitable.,eden kuta hotel bali,Bali
Gary,"8,4",22 Jul 2017,"Very friendly and efficient staff.  Nice swim up pool bar. Nice and cool area most of the time. Breakfast had a reasonable variety, except Aussie favorites like bacon, tomatoes, hash browns and mushrooms. Overall was great value and we would stay again.",eden kuta hotel bali,Bali
Sok,"8,4",21 Jul 2017,"Location is good , staff is friendly , room clean , will be back",eden kuta hotel bali,Bali
DARREL,"3,2",20 Jul 2017,"Room was uncomfortable and dirty, esp bed sheet have stains.",eden kuta hotel bali,Bali
Vincent,"8,4",19 Jul 2017,"I booked a transit room (that lasts for 7 hours) at Eden Kuta. It was advertised as a 4* hotel with discount of up to 86%. As I needed a room to cover the kids and have a shower before a late flight out of Bali we decided to give this a try. 

The hotel itself was decent for the price we paid (around 300,000 Ruppiah) and while the room we were given was on the top (6th) floor, there was no view. The balcony was walled up above head height. Maybe the view wasn't much to shout about but it's a bit strange to have a balcony that is just surrounded by walls. 

We did not try out the pool or kids club so can't comment too much about facilities.",eden kuta hotel bali,Bali
Anish,"6,8",16 Jul 2017,"The room was spacious. Staff were nice. However, We had the room facing the main street, therefore it was very disturbing at night while sleeping.
The separate kid’s pool was nice. Also the adult pool with the bar facility was the add on. The buffet breakfast was very good with the selection changing everyday.
The Lippo Mall was just 5 minutes’ walk, the Discover Mall, and the Water bomb just 10 minutes away.
Overall, it is budget hotel with reasonable facilities with mostly the group packaged tourists staying.",eden kuta hotel bali,Bali
Louie,"9,2",13 Jul 2017,"the staffs are great, hospitable, warm and the most honest! We left some of our things when we checked out then we came back hoping that they retrieved those things of us and they did! The hotel was also nice! very good location as well",eden kuta hotel bali,Bali
SHENGHU,"10,0",13 Jul 2017,So nice,eden kuta hotel bali,Bali
Basil,"9,2",12 Jul 2017,"My Room was miles away , walked corridor after corridor to get to it .. was the only negative , all else was good",eden kuta hotel bali,Bali
Cheng,"9,6",11 Jul 2017,"Nice hotel with decent buffet breakfast

About 20 minutes walk to kuta beach and 15 mins to waterboy.

Take grab as it's so cheap and beats walking in the sun.",eden kuta hotel bali,Bali
Karen,"9,6",10 Jul 2017,We loved staying here it was a perfect spot in Kuta . Every staff member was friendly and polite. We had a pool access room which should be renamed pool area access room but we loved our stay and would stay again.,eden kuta hotel bali,Bali
Chee,"9,6",09 Jul 2017,"If you plan to go Bali safari, the pick up point just opposite it",eden kuta hotel bali,Bali
Elizabeth,"8,8",Profil ini privat.,good cooperative staff.,eden kuta hotel bali,Bali
Tiara,"3,6",09 Jul 2017,"This Japanese inspired hotel looks beautiful, however unless you never want to sleep, stay here. Everything can be heard from the street to the neighbors showering.",eden kuta hotel bali,Bali
Chee,"9,6",08 Jul 2017,Well maintained hotel.,eden kuta hotel bali,Bali
sitt,"9,2",06 Jul 2017,It was an enjoyable two night stay at EDEN hotel. would recommend to friend and family.,eden kuta hotel bali,Bali
Lukas,"10,0",06 Jul 2017,"Hotel is super close to the airport, we had a pool acces room. Everything was ok, except the morning noise by the pool, but that is something you should expect :) We had a good rest and were satisfied.",eden kuta hotel bali,Bali
Prasudi,"10,0",05 Jul 2017,"Got it at 70% discount, for what would be a 4-5 stars establishment.",eden kuta hotel bali,Bali
Celina,"9,2",11 Jul 2017,"Breakfast was amazing, get it if you can. Front desk was super helpful. We were booking fast boats to Gili T and they helped us find a better price with no complaints when we said the first offer was too high.",eden kuta hotel bali,Bali
Sharon,"5,6",10 Jul 2017,Nice hotel but too noisey especially if in  pool access room as pool very close and people swim all night ... wouldn’t stay again except for 1 night to be close to airport,eden kuta hotel bali,Bali
Shajeel,"8,0",09 Jul 2017,"Eden Hotel delivered a better hotel experience from all of my stay in Bali, it is not exceptional but it is still better.",eden kuta hotel bali,Bali
tias,"8,8",Profil ini privat.,"This hotel has very good location and service, near Discovery mall and Lippo Mall , Bali Waterbom adn many favourite place",eden kuta hotel bali,Bali
Liza,"9,6",09 Jul 2017,"- Location is a few minutes from the airport which is convenient 
- It was also a few minutes walk from a local mall and several convenience stores which made it convenient for food runs and supermarket runs
- Location was also near multiple money changers (but please go to the legit ones as there are a lot in the area that look like scammers and take you to side streets and count your money then tell you they don't have enough Indonesian Rupiah to change it to -- happened to us and believe me, it was scary) 
- Service was good, hotel rooms were clean, towels were changed daily (upon request to fix room)
- Beds were really comfy and shower heater was working okay
- Each room also has regular water bottle supply and a working thermos 
- Hotel also has an elevator 
- Balcony in our room had a clothes line - convenient for drying beach outfits 
- Only concern was the room smelling like cigarette the whole time even if none of my friends and I smoked",eden kuta hotel bali,Bali
Tegshjargal,"9,2",08 Jul 2017,The room is nice and clean. Staffs are friendly.  Short walking distance to beach,eden kuta hotel bali,Bali
Melissa,"10,0",06 Jul 2017,great location,eden kuta hotel bali,Bali
Donny,"8,0",06 Jul 2017,good location and value for money,eden kuta hotel bali,Bali
adam,"8,4",05 Jul 2017,"A decent hotel with friendly staff. The common areas are well maintained and the breakfast has plenty to choose from (Indonesian & western). Our room was clean and spacious, but our bathroom could benefit from some general maintenance. Also, the gaps around the glass bathroom door provides little privacy/sound proofing. Overall a good stay",eden kuta hotel bali,Bali
Thanvarat,"9,6",05 Jul 2017,Me and my friend arrived at Bali pretty late at night and the hotel isn't that far at all from the airport. The room is very clean and the staff is very friendly. It is also near the beach and loads of bars and restaurant around.,eden kuta hotel bali,Bali
Robert,"9,6",05 Jul 2017,The place was clean and comfortable. Staff were attentive. Breakfast was good. Definitely value for money.,eden kuta hotel bali,Bali
VISTHA,"8,8",05 Jul 2017,"Greet staff, best location, clean room",eden kuta hotel bali,Bali
Bethany,"8,8",05 Jul 2017,"We stayed 1 night at EDEN Hotel, as our flight came in late and we were heading 2hours east the next morning.  It was fine, nothing to rave about but definitely nothing at all to complain about. Lovely staff, super close to the airport and very clean - perfect for the tourist who just wants a comfy bed.",eden kuta hotel bali,Bali
Zaw,"8,8",03 Jul 2017,All is good and fine .,eden kuta hotel bali,Bali
Yu-Li,"7,2",03 Jul 2017,"There was only a little dirt in corners. Otherwise, very clean and comfortable with attention to detail, like clothes line and five good hangers.
Located on busy road but walkable to beach in 20 minutes.",eden kuta hotel bali,Bali
Gangoda,"10,0",03 Jul 2017,"Super central, with beaches and markets in whatever direction you go. Room was clean and front desk as well as restaurant staff was friendly and gave insightful information about Kuta. Were offered welcome drinks which is a nice addition.",eden kuta hotel bali,Bali
Irwan,"8,4",02 Jul 2017,everything is good level but need to more choices pon breakfast food.,eden kuta hotel bali,Bali
Alana,"10,0",02 Jul 2017,"The staff were very friendly, breakfast was good,. Children enjoyed swimming in the pool.
Although the rooms are supposed to be non smoking we were allocated a room that had been used by a smoker. The staff quickly reallocated us when we explained we couldn’t stay in the room because of the smell.",eden kuta hotel bali,Bali
Rudolfs,"7,6",05 Jul 2017,"Good hotel with nice pool and excellent breakfast menu. Close to airport.
In our room wifi didn't work.",eden kuta hotel bali,Bali
James,"8,8",05 Jul 2017,"Good value hotel, great buffet breakfast, staff are helpful and friendly, very clean rooms",eden kuta hotel bali,Bali
Abdo,"10,0",05 Jul 2017,"Amazing staff, great location and the food is just amazing",eden kuta hotel bali,Bali
Peter,"10,0",05 Jul 2017,"Stayed here many times, always good. Well located  and great service.",eden kuta hotel bali,Bali
katrina,"8,0",03 Jul 2017,"aircon not working very well demand to change room  service was ok  location is very good, food service is good",eden kuta hotel bali,Bali
Toni,"8,0",03 Jul 2017,The air con was not very cool.,eden kuta hotel bali,Bali
MEIEE,"10,0",03 Jul 2017,Comfortable and pleasant stay.,eden kuta hotel bali,Bali
Dini,"9,6",02 Jul 2017,"With the extra promotions i got from a credit card promo, I had the best value of room with breakfast with the lowest price any other platform can offers.
The room was really good, great facilities (I even got cotton supply from the bathroom when I was out of it), room is very clean and smell goods, they even got travelers plug already plugged in the room. 
I really enjoyed it & very recommend it coz it’s also only about 5 mins from airport.",eden kuta hotel bali,Bali
KAYE,"10,0",02 Jul 2017,great location  rooms are clean,eden kuta hotel bali,Bali
KAYE,"7,2",02 Jul 2017,nice hotel in good location,eden kuta hotel bali,Bali
Charina,"7,2",02 Jul 2017,"went there for a night, got the air con broken, and the staff fix it.",eden kuta hotel bali,Bali
IRENE,"8,0",01 Jul 2017,very near to tourist spots and restaurants,eden kuta hotel bali,Bali
Rumana,"9,6",30 Jun 2017,We loved everything about this hotel. Staffs are highly professional. Buffet breakfast had lots of items. Outside area is also very nice. Rooms are clean and well facilitated. Surely gonna stay there for next visit also.,eden kuta hotel bali,Bali
Vinay,"8,0",30 Jun 2017,"Overall gud.
Only bath towels are not clean properly have bad smell. 
Food ok service ok staff ok location ok",eden kuta hotel bali,Bali
Hans,"8,4",30 Jun 2017,Room was good and clean. Location quite good around kuta area,eden kuta hotel bali,Bali
John,"9,6",29 Jun 2017,"Brilliant hotel great location, with super friendly staff",eden kuta hotel bali,Bali
Joey,"4,8",22 Jun 2017,"I choose my room to be in a pool access, yet it wasn’t so accessible near me.. upod arrival, the key card seems spoilt and  I can’t go inside.  Waiting for the staff to get a master key card in order for me to go inside. 20 mins later technician came to fix the door. Aircon wasn’t that cold and my passport was never pass to me directly. They had to call me in my room when the time that I wanted to be rest and not to be disturb. 

Next day, i went to spa as the receptionist told me that they are open by 9am.  And when I reached by 9:14am to level 5 where the spa is located. They refuse to do a service as they will start by 10am. They suggest to be back by 11am or 1pm as check out is 12noon.",eden kuta hotel bali,Bali
Taha,"4,4",20 Jun 2017,"The hotel was not so clean, the room was not comfortable, cold air wider didn't work as it should, they charge more than the one you booked, their data system didn't work as it should, because you have booking number and confirmation and them Standing there is not on their data system, I do not recommend anyone to go there.",eden kuta hotel bali,Bali
Thamilarasan,"10,0",02 Jul 2017,"Wonderful experience, nice hotel with friendly staff and excellent location.",eden kuta hotel bali,Bali
Ronanda,"6,8",02 Jul 2017,"(+) good location near to airport, segara & kuta beach, mall, hairdryer, refrig, spacious, good food

(-) AC is not cool even set at the lowest,  no water preasure, everything so expensive, some staff not so friendly, some towel are smell",eden kuta hotel bali,Bali
Sophializa,"10,0",01 Jul 2017,Loved how everything is so close and being by the pool  was a bonus,eden kuta hotel bali,Bali
Suraya,"8,0",30 Jun 2017,"Hotel is very near the airport (15 minutes away). Room was clean, complete amenities, close to 2 malls with various restaurants around.",eden kuta hotel bali,Bali
ni,"9,2",30 Jun 2017,It was a pleasant weekend and getaway. Friendly staffs. I got my room upgraded to the larger one with bath tub. At night was a heavy rain and i got my floor a little wet caused by the leak roof. The staff offer me to move but we just prefered just stay in the same room cause we were too lazy to repack my stuffs and move. So they offer us to put some dried towel on the floor to absorb the water. And its okay for me. Breakfast was great. I just expect they re-open the kids club since that is one of my reason to book this hotel.,eden kuta hotel bali,Bali
Vivi,"10,0",30 Jun 2017,"Good hotel,",eden kuta hotel bali,Bali
ZUBAIR,"10,0",29 Jun 2017,Nice staff and comfy room,eden kuta hotel bali,Bali
mark,"8,8",22 Jun 2017,excellent staff close to lippo mall and airport,eden kuta hotel bali,Bali
ZUBAIR,"9,6",20 Jun 2017,"Initially booked for only 2 nights but rooms were bigger and location is in the heart of kuta so extended for a week
Only draw back is air conditioning needs improvment",eden kuta hotel bali,Bali
NUR,"10,0",13 Jun 2017,great,eden kuta hotel bali,Bali
Krysten,"9,2",12 Jun 2017,Highly recommend book a poolside room. Great hotel with polite and great staff. Sunken bar staff will sit and chat with you. They make you feel very comfortable and happy to hang by the pool. I will return to the Eden next time I'm visiting Bali.,eden kuta hotel bali,Bali
Jai,"8,4",07 Jun 2017,"Good quality for the price you pay, didnt really spend much time in rooms, used the hotel more so as a place to leave all our personal things while out doing stuff during the day. the staff were lovely and the guys at the pool bar were great. definitely a 7.5/10 over all",eden kuta hotel bali,Bali
Natalie,"9,6",31 May 2017,Lovely hotel with beautiful staff only complaint would be the pool is very shallow and the bed was hard would stay again though,eden kuta hotel bali,Bali
Deni,"8,8",30 May 2017,"This hotel locared in strategic area. We can walk to the shopping centre, beach, and many place until late night. Staff very helpfull, hotel room is great with pool view, the breakfast is so variety. We have 4 day 3 night here and we feel we need more days to stay hahaha... well we will stay here again in the next trip to Bali. Thanks Eden hotel..",eden kuta hotel bali,Bali
Hui,"10,0",24 May 2017,"Very nice hotel, friendly staff and great location, would love to visit here again.",eden kuta hotel bali,Bali
Kamrul,"10,0",24 May 2017,Very nice hotel.,eden kuta hotel bali,Bali
Adam,"6,8",23 May 2017,"Hotel room was nice, bed was a little on the hard side, aircon not as good as it could be and you want a cold room when you come back to your room, buffet breakfest not the best was dry food and the same stuff 
The staff were the best part, inviting and they always had a chat which was good  the location was very good being in Kuta located inbeteeen discovery and Lippo Mall",eden kuta hotel bali,Bali
Jai,"6,8",21 May 2017,Good hotel. A little far from Kuta Center but within walking distance. No outside noise from the street which was great. Poolside rooms are handy for lazy swims. Pool bar is nice as is the pool bartender. We had nice chats with him on occasion. Breakfast was ok. Do not go during Chinese new year. Too many loud and annoying Chinese people who are often rude (jumps the queue for breakfast and pushes past you for the elevator).,eden kuta hotel bali,Bali
Faris,"9,2",13 Jun 2017,It's great hotel every thing is good👍🏽,eden kuta hotel bali,Bali
Kathy,"6,8",12 Jun 2017,All was good they just need to improve in cleaning a bit more the rooms !!,eden kuta hotel bali,Bali
villa,"10,0",07 Jun 2017,"I found Eden Hotel Kuta Bali in prime location of Kuta, close to airport, malls and shops, the room are clean and fully amenited. The breakfast also good, they have testy food and many choices. The pool are clear and clean, i recommend Eden Hotel Kuta Bali to stay with...",eden kuta hotel bali,Bali
Barnitus,"8,0",31 May 2017,"The staff are very friendly and helpful. Location are great as it is walking distance to beach, shopping mall, pub and restaurant.",eden kuta hotel bali,Bali
Irfan,"10,0",30 May 2017,I love this hotel,eden kuta hotel bali,Bali
Georgina,"6,0",24 May 2017,There is no kids club no more had to request to get our room cleaned and then took them half the day and half a dozen phone calls to get them to clean it. Restaurant not the best but staff in the pool bar were amazing!,eden kuta hotel bali,Bali
jin,"9,2",24 May 2017,"Very good 
But
Bad Wifi 😥",eden kuta hotel bali,Bali
Wiranya,"7,6",23 May 2017,"From above so we couldnt really enjoy the kids pool because of consistently bad smell.Had talk to the staff ,seemed to understand but end up next day doing the painting again..cant relax without toxic smell!",eden kuta hotel bali,Bali
Wong,"4,0",21 May 2017,"Front deck staff not friendly , I with family book for 6 room stay 4 day 3 night . 4 room Aircond is not cold at all . Somemore waste time ask so call engineer to do show for repairing . Put gas and this n tat , I was told the staff , don waste time for put gas . It won’t help . Finally they waste 1 hour  put gas into Aircond but still not cold ;l( only they willing change the room ) but time is 1am , with my 3 month baby together. , room floor is dirty . Breakfast still ok , other staff is ok , but front deck staff  not freidndy .",eden kuta hotel bali,Bali
sreekanth,"7,6",16 May 2017,"Location was good , and hotel transport is cheep compare to out side ,  every thing good, 
only room first time when open smell - better to use room fresher",eden kuta hotel bali,Bali
Charlie,"6,8",Profil ini privat.,Cleanliness and hygiene is our major concern,eden kuta hotel bali,Bali
felichie,"7,6",15 May 2017,Not clean. But other than everything is ok,eden kuta hotel bali,Bali
Gay,"9,2",15 May 2017,"You ll get high quality service in super value price. Location in center of everything, water park jus locate beside the hotel, beach is quite a distance away, but in 20 minutes, I booked a price wz breakfast included, worth every penny, hotel staff at check in area, restaurant, housekeeping all 👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼",eden kuta hotel bali,Bali
Ellen,"5,6",10 May 2017,The bed was comfortable but the air con was not cold and the shower pressure was very low.,eden kuta hotel bali,Bali
Shalini,"6,4",08 May 2017,its was ok.. just that the shower water was not getting drained.,eden kuta hotel bali,Bali
Nichole,"7,2",06 May 2017,"Pro's-Staff all around are beautiful! Ketut in restaurant is just gorgeous! Price was affordable. Konji for brekkie was amazeballs! Coffee at brekkie was awesome!
Cons-Non smoking room was linked to a heavy smoke draft down corridor. Smokers everywhere and it was very heavy. Pool is tiny compared to picture and is shallow. Pool room was a wading pool not the pool in the picture. Breakfast was heavily laden in carbs and consisted of Asian and Middle Eastern foods including curries. Not ideal for a T1 Diabetic. Yiu can only eat so many eggs iver 10 days! Wifi was sketchy. I wouldn't stay here again as Kuta is not nice and the hotel needs to sort out policies in regards to smoking and non smoking areas, along with their menu planning.",eden kuta hotel bali,Bali
Jodie,"10,0",03 May 2017,"Nothing was a problem the hotel were so helpful and kind. We were a party of 20 with 9 rooms. Room service was so cheap and delicious. Pool bar staff became our friends and were absolutely amazing.
Our rooms were clean, comfortable and larger than I thought. Bottled water was supplied free every day. Breakfast was amazing and would please the fussiest of  travelers. Location was great with lots of restaurants and markets around us. 
15 mins from the airport. I would highly recommend this hotel.",eden kuta hotel bali,Bali
Qassrawi,"10,0",03 May 2017,"Pros : friendly and nice staff,  great location,  clean and tidy rooms,  good breakfast.
Cons : weak Wi-Fi signal,  some small ants on the floor.",eden kuta hotel bali,Bali
Qassrawi,"9,6",16 May 2017,"Pros: friendly and nice staff,  great location,  clean and tidy rooms, good breakfast,   clean swimming  pool.
Cons: the Wi-Fi signal is not good in the fifth floor,  there are some small ants on the floor.",eden kuta hotel bali,Bali
Craig,"9,2",Profil ini privat.,excellent service from staff plenty of room in family rooms,eden kuta hotel bali,Bali
Qassrawi,"10,0",15 May 2017,"We had a  pleasant stay at the hotel.  
Pros: The location is good. The staff are friendly and nice.   The breakfast is great. The room is clean and tidy.
Cons: The wifi signal in the 5th floor is weak. The room has a some small ants.",eden kuta hotel bali,Bali
Suresh,"6,8",15 May 2017,Staff generally friendly. However noise due to pool. More breakfast varieties would also help.,eden kuta hotel bali,Bali
Grace,"8,8",10 May 2017,"Great value for money, great location and near to the beach, nice staff..",eden kuta hotel bali,Bali
Montree,"4,8",08 May 2017,"The hotel not give me for my request my prefer twin bed, high floor, hotel give me 1 floor so noisy because of many guest walk via this way, request for twin bed the hotel gave me double bedside I go with my friends she is women the hotel can not change another room as my request she let me knows many quest and room is full if we want to change me must to extra bed separate the bed so this situation very bad for me.",eden kuta hotel bali,Bali
Ernest,"9,6",06 May 2017,Budget hotel with Strategic location. Near to kuta discovery mall only need to walk for 10minutes. Friendly and helpfull  staff.,eden kuta hotel bali,Bali
Steve,"10,0",03 May 2017,"Not a single problem,,all good",eden kuta hotel bali,Bali
kaman,"7,6",03 May 2017,No,eden kuta hotel bali,Bali
Yosephina,"2,0",Profil ini privat.,"The picture in Agoda Web with the real in fact very different, farrrrr from the real.
Very ugly, dirty, not recomended",eden kuta hotel bali,Bali
Ricky,"7,2",29 Apr 2017,"Hotel location is perfect because it is close to every where. only around 700 m to Discovery Mall and nearest beach. 1.5 km to Kuta beach. Great place to spend new year in Bali. Nearest Lippo Mall only 200 meter away. Cafe and Resto are every where until late night.

Just the hotel facility not great. Water in the adult swimming pool is dirty. I was staying in Family Room with Connecting Door. My air con in living room is not cold at all. My Bed room door is stuck, can not close properly. There is a sewer smell in my bed room toilet especially in the morning. Luckily the toilet has its own door and fan at the top but the smell is really uncomforting when you are inside.",eden kuta hotel bali,Bali
Tae,"5,2",28 Apr 2017,"I didnt expect that much from the start. Location is close to the airport and thats about it. 
Shower was terriable.. and they really need more elevators.",eden kuta hotel bali,Bali
ENG,"8,4",25 Apr 2017,"Absolutely great location and value for money. the room is nice and clean.

The only setback was the hotel booking condition. it was a non-free cancellation and payment directly to the hotel. two days before the date of check in, the hotel sent a message asking for credit card info to pay for one night stay, in order to SECURE my booking. The reason was the system would release my booking if not paid, according to the hotel. however, it is not logical, as i would be charged the full fee if i did not check in anyway.

 i did not give the sensitive info over email and had to call Agoda staff (who was really helpful), to liase with the hotel.

After many calls and emails, the hotel finally agree for me to pay upon my arrival. that was an unpleasant experience, otherwise it would be a perfect stay.",eden kuta hotel bali,Bali
Willy,"10,0",22 Apr 2017,"Nice staff, clean room, cozy hotel near at kuta area. great value of money",eden kuta hotel bali,Bali
Sheryl,"8,0",18 Apr 2017,"Location is good - situated near/middle of Lippomall & Discovery Mall
Breakfast is okay, but after we experienced it for 5 days, they should add/change more variety/choices of the food. 
Great staff - accommodating and always ready to help.",eden kuta hotel bali,Bali
rowstanalyn,"9,2",18 Apr 2017,"Everything positive except for the pools.Adult pool water is not enticing,water not very clear.Kiddie pool is clean but small only and far from adult pool.",eden kuta hotel bali,Bali
Arie,"7,2",09 Apr 2017,"Stayed in the Eden Pool Access Room. 
Pleasant stay, good location and value for money.

Need to really improve on the hotel's room WIFI connection as the connection is really bad. 
Most of times there's NO WIFI connection at all (in the room)l. Have to be outside of the room for good WIFI.",eden kuta hotel bali,Bali
carine,"7,2",08 Apr 2017,"Suitable for guest who just want to stay for 1-2 nights or lesser. 

Stayed there 4 nights in the pool access normal room, experience was bad.

Bedsheet has yellow stains all over. Aircon isn't cold. The whole room look very run down & not what it is stated in the photo. 

Take note hotel room floor is made of titles not carpet, first time been to a hotel room with titles not carpet. Titles look old and dirty.

Hotel room even have foul smell from the sewage. Easily the worst hotel I have ever stayed.

However, staff are all very attentive & friendly. (Excellent service from staff)

Great service recovery from manager after we called in agoda to complain. Before that kept asking to change room and staff kept trying to brush us off and say they will provide air fresher instead.

Only after complain to agoda and agoda brought up the matter to management, the manager came to speak and upgrade use to another room which is bigger & with bathtub. As well as complimentary breakfast & airport transfer (which we did not use as airport is only 1.7km away from hotel) took a taxi at only 140,000 IDR.

No foul smell & aircon is much better after the change of room. However, I think the aircon in all rooms are quite weak.. so think twice if u are afraid of heat.

Overall, would not come back to stay at all but the staff are really great and friendly.",eden kuta hotel bali,Bali
Vo,"6,0",Profil ini privat.,Wifi is too slow. Not so clean. The facilities look old. The staff is not so supportive. The laundry price is very expensive as well as tour packages.,eden kuta hotel bali,Bali
Feirouz,"9,6",29 Apr 2017,awesome place to stay nice food etc,eden kuta hotel bali,Bali
Feirouz,"9,2",28 Apr 2017,"very nice place to stay, walk distance to discovery shopping mall and many sight seeing to see while walking. very safe place to walk during night time.",eden kuta hotel bali,Bali
Chandra,"10,0",25 Apr 2017,"I stayed at Eden kuta for my business trip in bali, also I can enjoy the kuta entertainments. The room are clean, the ambience are green and fresh, I can relax in room after my meeting. staff are good and friendly. a lot of choices in breakfast buffet, thank you Eden next time I will come back here again",eden kuta hotel bali,Bali
Faridah,"9,2",22 Apr 2017,It located in between Lippo Mall and Discovery Mall. The hotel was about 15 min walk to beach. There are souveniors shops along the road as you walked. The pool bar was nice and my kid enjoyed the swimming pool. Choose pool access if you are going for a swim for your stay. The SPA was excellent. Hotel staff was very friendly and always putting on a smile.,eden kuta hotel bali,Bali
Mery,"8,8",18 Apr 2017,"Good location
Great value",eden kuta hotel bali,Bali
nean,"7,6",18 Apr 2017,"Aircon was having issues for past 2 nights. However we were so tired walking and all of us fell flat on the bed. Swimming pool is small. Photo looks larger than life. For 1 or 2 night stay is fine. Very near Lippo Mall for food, supermarket and cinema.",eden kuta hotel bali,Bali
